reef_name,Total_fish_count,Total_Select_Species,RBA,y,x
Monkey Island,174,41,23.56321839,,
Monkey Island East,12,9,75,,
Moonhole,180,75,41.66666667,,
Mooring 1,60,10,16.66666667,,
"Mooring Balls Pompano Beach, Ball #29",12,5,41.66666667,,
Morales,64,37,57.8125,,
Morris Shoal,32,21,65.625,,
Mosquito Cove,3,3,100,,
Motaguilla,17,16,94.11764706,,
Mount Irvine,183,62,33.87978142,,
Moura Reef East,92,4,4.347826087,,
Moura Reef North,12,3,25,,
Mushroom Garden Line 1,62,43,69.35483871,,
Mushroom Garden Line 2,40,23,57.5,,
Nags Head,20,8,40,,
Navy Island,34,28,82.35294118,,
Negril Reef 1,86,69,80.23255814,,
Negril Reef 2,43,31,72.09302326,,
Negril Reef 3,34,25,73.52941176,,
Nico,60,47,78.33333333,,
Nirvana,81,59,72.83950617,,
North Horseshoe Reef,68,8,11.76470588,,
North North Dry Rocks,224,50,22.32142857,,
North Shore,20,12,60,,
North West Bluff,27,5,18.51851852,,
North West Grand Boucan,0,0,#DIV/0!,,
Northeast Wall,38,15,39.47368421,,
Northern Exposure,0,0,#DIV/0!,,
Nursery,68,34,50,,
Obispo,0,0,#DIV/0!,,
Oistins,17,9,52.94117647,,
Old Airport,94,60,63.82978723,,
Old Bay,342,2,0.584795322,,
Old Rope,48,34,70.83333333,,
Oliver's Wreck,33,18,54.54545455,,
Orca 2,194,43,22.16494845,,
Outer Bank,160,86,53.75,,
Outer Turtle Harbor Reef,48,5,10.41666667,,
Oyster Bay,37,15,40.54054054,,
Paicianito,99,34,34.34343434,,
"Paisanito, La Caleta",245,162,66.12244898,,
Palomino,320,170,53.125,,
Papa Gente,8,8,100,,
Paradise Island Winward Reef,32,13,40.625,,
Paradise Reef,7,7,100,,
Paraiso,457,182,39.8249453,,
Parco,124,56,45.16129032,,
Pared (Catalina),116,56,48.27586207,,
Paredao Pai Bento,133,2,1.503759398,,
Paredao Pai Bento 2,9,3,33.33333333,,
Parrachos de Maracajau,86,21,24.41860465,,
Parrotfish Reef,447,35,7.829977629,,
Pata de Cristo,0,0,#DIV/0!,,
Patch Caye Sable,0,0,#DIV/0!,,
Peaje,8,5,62.5,,
Pear Tree Bottom,220,105,47.72727273,,
Pedra da Baliza,329,8,2.431610942,,
Pedra da Carauna,8,1,12.5,,
Pedra do Meio,224,6,2.678571429,,
"Pedra Metade Dentro, Principe",73,41,56.16438356,,
Pedra Virada,13,5,38.46153846,,
Pelican Island,1026,839,81.77387914,,
Pelican Point #1,103,50,48.54368932,,
Pelican Point #2,73,47,64.38356164,,
Pelican Point #3,180,73,40.55555556,,
Pelican Point #4,313,164,52.39616613,,
Pelican Point 0,154,58,37.66233766,,
Pelican Point 0.5,171,103,60.23391813,,
Pelican Point 1A,91,50,54.94505495,,
Pelican Point 1B,31,19,61.29032258,,
Pelican Point 1C,74,52,70.27027027,,
Pelican Point 2,0,0,#DIV/0!,,
Pelican Point 2.5,311,165,53.05466238,,
Pelican Point 3,0,0,#DIV/0!,,
Pelican Point 4,523,237,45.31548757,,
Pelican Point Buoy 1,634,91,14.3533123,,
Pelican Point Buoy 2,1339,624,46.60194175,,
Pelican Point Buoy 3,89,60,67.41573034,,
Pelican Reef,76,21,27.63157895,,
Pelicano 0,169,73,43.19526627,,
Peter Tosh Reef,17,6,35.29411765,,
Petit Bateau,309,41,13.26860841,,
Petit Gonave SW Pt,4,3,75,,
Petit Tabac,55,30,54.54545455,,
Petit Trou de Nippes (Lighthouse Reef),1,1,100,,
"Petite Riviere de Nippes ""Manollo Inn""",0,0,#DIV/0!,,
Petite Terre - Lagon,294,163,55.44217687,,
Petits Saints,40,10,25,,
Picadilly Shallow,20,10,50,,
Pierebaai/Marie Pampoen,21,17,80.95238095,,
Pigeon Island East,48,43,89.58333333,,
Pigeon Island West,165,109,66.06060606,,
Pigican,35,10,28.57142857,,
Pinel Sentier Sous-marin,208,42,20.19230769,,
Pinnacles,72,27,37.5,,
Pipocas,20,0,0,,
Pirahna Cove,118,21,17.79661017,,
Pirambu,111,14,12.61261261,,
Pirates Bay,112,84,75,,
Pirate's Bay,231,106,45.88744589,,
Piscina de Abrolhos,28,5,17.85714286,,
Piscina de Rocas I,501,4,0.798403194,,
Piscina do Cemiterio,29,11,37.93103448,,
Piscina do Cemiterio II,23,19,82.60869565,,
Piscina do Farol,2,0,0,,
Plana Cays,29,29,100,,
Plantain Mustique,216,91,42.12962963,,
Playa Aventura unity 10,0,0,#DIV/0!,,
Playa Aventura unity 11,0,0,#DIV/0!,,
Playa Aventura unity 12,0,0,#DIV/0!,,
Playa Aventura unity 2,0,0,#DIV/0!,,
Playa Aventura unity 3,0,0,#DIV/0!,,
Playa Aventura unity 4,0,0,#DIV/0!,,
Playa Aventura unity 5,0,0,#DIV/0!,,
Playa Aventura unity 6,0,0,#DIV/0!,,
Playa Aventura unity 7,0,0,#DIV/0!,,
Playa Aventura unity 8,0,0,#DIV/0!,,
Playa Aventura unity 9,0,0,#DIV/0!,,
Playa Aventuras unity 1,0,0,#DIV/0!,,
Playa Aventuras unity 10,0,0,#DIV/0!,,
Playa Aventuras unity 11,0,0,#DIV/0!,,
Playa Aventuras unity 12,0,0,#DIV/0!,,
Playa Aventuras unity 2,0,0,#DIV/0!,,
Playa Aventuras unity 3,0,0,#DIV/0!,,
Playa Aventuras unity 4,0,0,#DIV/0!,,
Playa Aventuras unity 5,0,0,#DIV/0!,,
Playa Aventuras unity 6,0,0,#DIV/0!,,
Playa Aventuras unity 7,0,0,#DIV/0!,,
Playa Aventuras unity 8,0,0,#DIV/0!,,
Playa Aventuras unity 9,0,0,#DIV/0!,,
Playa del Medio,147,31,21.08843537,,
Playa Dorada 1,23,8,34.7826087,,
Playa Dorada 2,33,18,54.54545455,,
Playa Esmeralda,1,1,100,,
Playa Grande,3,1,33.33333333,,
Playa Hundu,35,15,42.85714286,,
Playa Jeremi,88,28,31.81818182,,
Playa Lagun,317,63,19.87381703,,
Plaza Helena,111,18,16.21621622,,
Plaza Ramon,46,10,21.73913043,,
Poco da Elga,229,2,0.873362445,,
Poco dos Gatos,1,0,0,,
Podes Crer,3,0,0,,
Point a Raquette,1,1,100,,
Point Sable,0,0,#DIV/0!,,
Pointe Cabrit/Les Saintes Terre de Haut,399,124,31.07769424,,
Pointe de la Baleine,434,28,6.451612903,,
Pointe Decouverte,5,2,40,,
Pointe Seringue,0,0,#DIV/0!,,
Poita 030407,43,4,9.302325581,,
Pompano 3rd Reef into Razzle Dazzle Reef,47,9,19.14893617,,
"Pompano Mooring Balls, Ball #17",15,10,66.66666667,,
Ponds Bar,46,26,56.52173913,,
Ponto da M. hartii,60,6,10,,
Porites,3,3,100,,
Port a Piment,7,5,71.42857143,,
Port Bichette,1,1,100,,
"Port Louis, Pointe des Mangles",787,353,44.85387548,,
Port Morgan 2nd Point,0,0,#DIV/0!,,
Port St. Charles,33,27,81.81818182,,
Portinho Norte,38,9,23.68421053,,
Portinho Sul,155,47,30.32258065,,
Porto Mari,54,12,22.22222222,,
Portomari,463,218,47.08423326,,
PortoMari Transect 1,1545,1021,66.08414239,,
PortoMari Transect 2,1107,703,63.50496838,,
PortoMari Transect 3,1606,731,45.51681196,,
Pos Chiquito,122,58,47.54098361,,
Pos Spano,441,142,32.19954649,,
Power Station,37,16,43.24324324,,
Prainha,63,7,11.11111111,,
Pretty Bush,30,18,60,,
Primer Coral,237,142,59.91561181,,
"Primer Coral, La Caleta",40,23,57.5,,
Proselyte Reef,0,0,#DIV/0!,,
Provo Patch Reef,43,2,4.651162791,,
Puerto Nuevo,31,8,25.80645161,,
Puerto Nuevo Beach,48,11,22.91666667,,
Punta Can Buoy Reef,16,4,25,,
Punta Cana,5,1,20,,
Punta de Bahia,16,9,56.25,,
Punta PADI,16,12,75,,
Punta Pelicano 3,123,73,59.3495935,,
Punta Perdiz,90,46,51.11111111,,
Punta Salinas,17,0,0,,
Punta Salinas ,3,3,100,,
Punta Vigia,332,99,29.81927711,,
Punta Xoquen,0,0,#DIV/0!,,
Rachette Point,777,396,50.96525097,,
Rachette Pointe,106,51,48.11320755,,
Rackhams Cay,64,14,21.875,,
Rackhams Cay - Relocation site,17,7,41.17647059,,
Ragedy Cay,67,56,83.58208955,,
Ragedy Cay New Buoy,43,34,79.06976744,,
Ragged,105,74,70.47619048,,
Ragged Caye,83,52,62.65060241,,
Ravine Sable East,9,9,100,,
Ravine Sable West,8,7,87.5,,
Razzle Dazzle Reef,41,18,43.90243902,,
RCAV09,31,20,64.51612903,,
RCAV18,18,17,94.44444444,,
Reggae Nest,25,23,92,,
Relocation 1,37,31,83.78378378,,
Relocation 3,13,10,76.92307692,,
Rendevouz Caye,149,112,75.16778523,,
Rendezvous Bay Reef,392,68,17.34693878,,
Rendezvous Caye,111,74,66.66666667,,
Richie's Site,854,70,8.196721311,,
Rinas Hole,0,0,#DIV/0!,,
RIU Nursery,54,15,27.77777778,,
Roca Solarte,29,16,55.17241379,,
Rocher Creole Nord,129,45,34.88372093,,
Rock Edge,5,2,40,,
Rockhouse,38,28,73.68421053,,
Rocky Beach,155,85,54.83870968,,
Rocky Top,246,15,6.097560976,,
Rodney's Rock,109,3,2.752293578,,
Ron's Wreck,104,84,80.76923077,,
